2400, shapes2, -82.55, [-82.55], 373.32, [373.32]
2400, swim, -73.93, [-73.93], 1649.91, [1649.91]
2400, fu, -89.5, [-89.5], 2023.12, [2023.12]
2400, jackobs1, -89.09, [-89.09], 1954.51, [1954.51]
2400, trousers, -88.72, [-88.72], 1660.37, [1660.37]
2400, jackobs2, -80.89, [-80.89], 1649.47, [1649.47]
2400, shapes0, -62.34, [-62.34], 821.78, [821.78]
2400, shapes1, -68.78, [-68.78], 2446.96, [2446.96]
2400, shapes2, -82.13, [-82.13], 1914.64, [1914.64]
2400, albano, -86.72, [-86.72], 2291.24, [2291.24]
2400, shirts, -85.89, [-85.89], 1977.59, [1977.59]
2400, dighe1, -87.52, [-87.52], 80.51, [80.51]
2400, dighe2, -84.03, [-84.03], 9.45, [9.45]
2400, dagli, -84.45, [-84.45], 2066.64, [2066.64]
2400, shapes2, -82.55, [-82.55], 706.16, [706.16]
2400, jackobs1, -85.66, [-86.83, -84.48], 2170.08, [2321.46, 2018.7]
2400, fu, -90.73, [-91.94, -89.53], 1489.08, [2429.02, 549.14]
