
1200, shapes1, -65.95, [-65.95], 249.89, [249.89]
1200, shapes2, -77.42, [-77.42], 565.91, [565.91]
1200, albano, -84.2, [-84.2], 692.06, [692.06]
1200, shirts, -84.87, [-84.87], 1238.57, [1238.57]
1200, trousers, -87.92, [-87.92], 204.61, [204.61]
1200, dighe1, -68.78, [-68.78], 0.12, [0.12]
1200, dighe2, -68.99, [-68.99], 0.04, [0.04]
1200, dagli, -82.18, [-82.18], 492.09, [492.09]
1200, mao, -83.49, [-83.49], 220.25, [220.25]
1200, fu, -88.87, [-88.87], 24.94, [24.94]
1200, marques, -86.31, [-86.31], 189.53, [189.53]
1200, swim, -70.35, [-70.35], 254.0, [254.0]
1200, jackobs1, -81.67, [-81.67], 30.82, [30.82]
1200, jackobs2, -74.23, [-74.23], 136.71, [136.71]
1200, shapes0, -59.11, [-59.11], 860.5, [860.5]
