2400, shapes2, -82.76, [-82.76], 719.01, [719.01]
2400, swim, -73.26, [-73.26], 1226.86, [1226.86]
2400, fu, -89.06, [-89.06], 454.99, [454.99]
2400, jackobs1, -89.09, [-89.09], 1695.74, [1695.74]
2400, trousers, -88.97, [-88.97], 1553.0, [1553.0]
2400, jackobs2, -80.89, [-80.89], 191.04, [191.04]
2400, albano, -88.23, [-88.23], 2151.91, [2151.91]
2400, shirts, -86.2, [-86.2], 1063.22, [1063.22]
2400, dagli, -85.61, [-85.61], 608.57, [608.57]
2400, mao, -83.49, [-83.49], 1497.53, [1497.53]
2400, marques, -87.56, [-87.56], 194.58, [194.58]
2400, shapes2, -82.23, [-82.23], 608.11, [608.11]
2400, swim, -74.15, [-74.15], 2458.2, [2458.2]
